Run 1696281871
event 1
Recoil_DM      0.0282707      0.0469601      0.363908       0.368209       24.2463        31.2925        293.462        1.00169e-06    
electron       0.00666953     -0.000247777   0.0603734      0.0607433      24.2463        31.2925        293.462        1.00169e-06    

endevent 11

event 12
pion           0.0213872      0.102399       0.460868       0.491488       -0.0778414     1.01744        112.063        3.8719e-07     
V              0.0265866      0.0908951      0.465511       0.478037       -0.0778414     1.01744        112.063        3.8719e-07     
DM             0.0277434      0.0388761      0.303066       0.307041       -0.0778414     1.01744        112.063        3.8719e-07     
Recoil_DM      0.0294745      0.0323852      0.272009       0.275772       15.8916        23.3951        286.512        9.76721e-07    
electron       -0.00173107    0.0064909      0.031057       0.0317794      15.8916        23.3951        286.512        9.76721e-07    

endevent 12

event 13
pion           0.127828       0.183442       1.78397        1.80298        0.119899       -0.100153      1.60322        1.8714e-08     
V              0.12145        0.176511       1.77922        1.79243        0.119899       -0.100153      1.60322        1.8714e-08     
DM             0.0721844      0.0995968      0.91153        0.91987        0.119899       -0.100153      1.60322        1.8714e-08     
Recoil_DM      0.0752642      0.0958889      0.877377       0.885885       49.54          68.0876        625.671        2.11942e-06    
electron       -0.00307982    0.00370788     0.0341529      0.0344952      49.54          68.0876        625.671        2.11942e-06    

endevent 13

event 14
pion           0.388779       0.227727       6.04538        6.06365        -0.0187539     0.250007       21.9303        8.6559e-08     
V              0.223366       0.149239       3.95038        3.96066        -0.0187539     0.250007       21.9303        8.6559e-08     
DM             0.0232437      0.0313236      0.284337       0.287251       -0.0187539     0.250007       21.9303        8.6559e-08     
Recoil_DM      0.01489        0.0105417      0.144993       0.146628       15.3526        20.9648        209.967        7.20208e-07    
electron       0.00835367     0.020782       0.139344       0.141133       15.3526        20.9648        209.967        7.20208e-07    

endevent 14

event 15
pion           0.328914       0.503703       2.45512        2.53135        -0.987433      0.084196       325.253        1.0982e-06     
V              0.339007       0.467767       2.33522        2.40577        -0.987433      0.084196       325.253        1.0982e-06     
DM             0.162763       0.220383       1.08085        1.1151         -0.987433      0.084196       325.253        1.0982e-06     
Recoil_DM      0.159908       0.214566       1.02667        1.06104        58.9714        81.2693        723.42         2.46842e-06    
electron       0.00285501     0.00581764     0.0541873      0.0545758      58.9714        81.2693        723.42         2.46842e-06    

endevent 15

event 16
pion           0.300251       0.232662       0.331926       0.522184       -0.337632      0.960286       600.62         2.0168e-06     
V              0.0752096      0.0991331      0.14016        0.197764       -0.337632      0.960286       600.62         2.0168e-06     
DM             0.0726622      0.0983261      0.108876       0.164152       -0.337632      0.960286       600.62         2.0168e-06     
Recoil_DM      0.0631098      0.0815871      0.0867039      0.135281       8.44444        12.8441        613.779        2.08298e-06    
electron       0.00955238     0.016739       0.0221721      0.029382       8.44444        12.8441        613.779        2.08298e-06    

endevent 16

event 17
pion           0.124666       0.236958       2.26527        2.28503        0.0959158      -0.135263      0.570372       1.5288e-08     
V              0.149499       0.210785       2.06163        2.07822        0.0959158      -0.135263      0.570372       1.5288e-08     
DM             0.124387       0.173491       1.59346        1.60775        0.0959158      -0.135263      0.570372       1.5288e-08     
Recoil_DM      0.106402       0.123017       1.26058        1.27109        85.4505        118.915        1094.01        3.69531e-06    
electron       0.0179844      0.0504739      0.332881       0.337167       85.4505        118.915        1094.01        3.69531e-06    

endevent 17

event 18
pion           -0.017222      0.243482       3.1492         3.16153        0.0172107      0.011281       0.892263       1.632e-08      
V              -0.00252648    0.0687192      0.839303       0.844983       0.0172107      0.011281       0.892263       1.632e-08      
DM             0.0299063      0.0411918      0.385292       0.388826       0.0172107      0.011281       0.892263       1.632e-08      
Recoil_DM      0.0178657      0.0134227      0.197058       0.198684       20.4748        28.1888        264.453        9.03527e-07    
electron       0.0120407      0.0277692      0.188234       0.190653       20.4748        28.1888        264.453        9.03527e-07    

endevent 18

event 19
pion           0.3949         0.485205       5.35547        5.39357        0.0122674      -0.0047195     0.748873       1.5842e-08     
V              0.391069       0.441396       4.90269        4.93867        0.0122674      -0.0047195     0.748873       1.5842e-08     
DM             0.1745         0.233198       2.17255        2.19202        0.0122674      -0.0047195     0.748873       1.5842e-08     
Recoil_DM      0.169074       0.218516       2.11017        2.12822        118.729        158.645        1478.78        4.99021e-06    
electron       0.00542638     0.0146826      0.0623779      0.0643139      118.729        158.645        1478.78        4.99021e-06    

endevent 19

event 20
pion           0.122523       0.187069       3.35688        3.36702        0.00234892     0.0219683      -0.604791      1.1331e-08     
V              0.0931776      0.0706823      1.23756        1.24431        0.00234892     0.0219683      -0.604791      1.1331e-08     
DM             0.0366385      0.0508877      0.468896       0.473222       0.00234892     0.0219683      -0.604791      1.1331e-08     
Recoil_DM      0.0330346      0.0484198      0.375756       0.38049        25.1116        34.8966        320.742        1.09312e-06    
electron       0.00360385     0.00246794     0.0931395      0.0932433      25.1116        34.8966        320.742        1.09312e-06    

endevent 20

event 21
pion           -0.0078192     0.0517989      0.512673       0.532726       1.40921        -0.189012      143.642        4.93e-07       
V              0.0505701      0.0335463      0.345468       0.354681       1.40921        -0.189012      143.642        4.93e-07       
DM             0.0275086      0.037837       0.279564       0.283705       1.40921        -0.189012      143.642        4.93e-07       
Recoil_DM      0.0265474      0.0334021      0.270045       0.273658       16.3952        20.4237        295.942        1.00854e-06    
electron       0.000961181    0.0044349      0.00951952     0.0105582      16.3952        20.4237        295.942        1.00854e-06    

endevent 21

event 22
pion           0.176648       0.578266       4.91803        4.95689        0.709912       0.691871       65.7721        2.3278e-07     
V              0.120079       0.215614       1.80683        1.82412        0.709912       0.691871       65.7721        2.3278e-07     
DM             0.0757647      0.101308       0.871426       0.880642       0.709912       0.691871       65.7721        2.3278e-07     
Recoil_DM      0.0693936      0.0927858      0.720848       0.730199       47.4194        63.1489        603.013        2.04377e-06    
electron       0.00637105     0.00852203     0.150577       0.150954       47.4194        63.1489        603.013        2.04377e-06    

endevent 22

event 23
pion           0.436313       0.757266       6.55773        6.61709        0.0004124      -0.0014241     -1.14813       9.5131e-09     
V              0.407615       0.62177        5.41735        5.46833        0.0004124      -0.0014241     -1.14813       9.5131e-09     
DM             0.244447       0.353536       3.25164        3.27995        0.0004124      -0.0014241     -1.14813       9.5131e-09     
Recoil_DM      0.239071       0.341631       3.05           3.0784         168.462        243.64         2239.74        7.54937e-06    
electron       0.00537608     0.0119052      0.201638       0.202061       168.462        243.64         2239.74        7.54937e-06    

endevent 23

event 24
pion           0.289007       0.427712       3.3851         3.42689        -0.758913      0.652043       79.9627        2.8011e-07     
V              0.29613        0.371025       2.97988        3.01766        -0.758913      0.652043       79.9627        2.8011e-07     
DM             0.183213       0.237165       1.94985        1.97279        -0.758913      0.652043       79.9627        2.8011e-07     
Recoil_DM      0.151005       0.210152       1.58512        1.60615        109.691        143.628        1255.44        4.24718e-06    
electron       0.0322077      0.0270137      0.364733       0.367147       109.691        143.628        1255.44        4.24718e-06    

endevent 24

event 25
pion           0.3863         0.327601       6.43643        6.45774        0.015694       -0.0014447     0.747789       1.5838e-08     
V              0.108715       0.108111       2.08085        2.0878         0.015694       -0.0014447     0.747789       1.5838e-08     
DM             0.0351255      0.0488792      0.448205       0.452388       0.015694       -0.0014447     0.747789       1.5838e-08     
Recoil_DM      0.0379231      0.0457702      0.409553       0.414018       24.1625        33.6002        308.863        1.05319e-06    
electron       -0.0027976     0.003109       0.038652       0.0388809      24.1625        33.6002        308.863        1.05319e-06    

endevent 25

event 26
pion           0.0424399      0.381324       2.62049        2.65187        0.205343       -0.262303      22.6894        8.9038e-08     
